source_symbol,source_trade_month_partition,source_file,source_row_group,event_epoch_seconds,event_date_ist,candidate_window_start_epoch,candidate_window_end_epoch,source_row_group_min_epoch,source_row_group_max_epoch,source_row_group_rows
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1789393949,2026-09-14,1789393049,1789395749,1789392600,1789395299,376178
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1785422249,2026-07-30,1785421349,1785424049,1785420900,1785423599,370549
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1789477649,2026-09-15,1789476749,1789479449,1789476300,1789478999,370267
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1786534649,2026-08-12,1786533749,1786536449,1786533300,1786535999,369997
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1785330449,2026-07-29,1785329549,1785332249,1785329100,1785331799,369418
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1788951149,2026-09-09,1788950249,1788952949,1788949800,1788952499,369117
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1788791849,2026-09-07,1788790949,1788793649,1788790500,1788793199,368751
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1785846149,2026-08-04,1785845249,1785847949,1785844800,1785847499,368626
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1791205649,2026-10-05,1791204749,1791207449,1791204300,1791206999,368565
HDFCBANK,duckdb_row_level_date_profile,raw_synthetic_l2_dense_full_year/trade_month=*/symbol=HDFCBANK/part-*.parquet,-1,1787749649,2026-08-26,1787748749,1787751449,1787748300,1787750999,368249
