root,trade_date,exchange,symbol,file,rows,column_count,missing_required_columns,required_schema_pass,l1_book_sample_pass,observed_trade_dates,observed_symbols,sample_status,sample_error
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ADANIPORTS,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-073443_831343-000001.parquet,5,54,,True,True,2026-07-08,ADANIPORTS,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ADANIPORTS,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-100140_507866-020481.parquet,1,54,,True,False,2026-07-08,ADANIPORTS,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,AXISBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-073443_970901-000002.parquet,18,54,,True,True,2026-07-08,AXISBANK,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,AXISBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-100140_620396-020482.parquet,1,54,,True,False,2026-07-08,AXISBANK,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BAJAJ-AUTO,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-073444_080201-000003.parquet,12,54,,True,True,2026-07-08,BAJAJ-AUTO,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BAJAJ-AUTO,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-100140_731059-020483.parquet,1,54,,True,False,2026-07-08,BAJAJ-AUTO,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BANKBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-073444_224685-000004.parquet,10,54,,True,True,2026-07-08,BANKBEES,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BANKBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-100140_848136-020484.parquet,1,54,,True,False,2026-07-08,BANKBEES,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BHARTIARTL,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-073444_337478-000005.parquet,12,54,,True,True,2026-07-08,BHARTIARTL,ok,
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BHARTIARTL,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-100109_725200-020453.parquet,4,54,,True,False,2026-07-08,BHARTIARTL,ok,
