metric,value,description
phase142_roots_checked,2,Distinct local roots inspected
phase142_symbol_partition_rows,288,Symbol partition rows discovered
phase142_canonical_symbol_partition_rows,224,Symbol partitions with canonical trade_date/exchange/symbol layout
phase142_nested_trade_date_symbol_partition_rows,64,Symbol partitions with duplicate nested trade_date path parts
phase142_sample_files_checked,576,First/last parquet samples read for schema and L1 book checks
phase142_date_rows,9,Root/date readiness rows emitted
phase142_ready_date_rows,9,Root/date rows ready for Phase115 import
phase142_max_ready_dates_in_one_root,5,Maximum ready dates in any one checked root
phase142_total_parquet_files,348821,Total parquet files across checked roots
phase142_total_bytes,12249470254,Total bytes across checked roots
phase142_strategy_replay_allowed,0,Local download verification does not unlock strategy replay
