phase,runner_count,output_rows,has_runner,has_outputs,has_acceptance_summary,status,branch,strategy_replay_allowed,next_action,runner,output_dir
1,2,1,True,True,False,script_only,,,,scripts\run_phase1_event_reconstruction.py|scripts\run_phase1_received_tick_features.py,outputs\phase1
2,1,1,True,True,False,script_only,,,,scripts\run_phase2_empirical_calibration.py,outputs\phase2
3,1,1,True,True,False,script_only,,,,scripts\run_phase3_regime_taxonomy.py,outputs\phase3
4,1,1,True,True,False,script_only,,,,scripts\run_phase4_scenario_calendar.py,outputs\phase4
5,1,1,True,True,False,script_only,,,,scripts\run_phase5_price_process.py,outputs\phase5
6,1,1,True,True,False,script_only,,,,scripts\run_phase6_l2_book_generator.py,outputs\phase6
7,1,1,True,True,False,script_only,,,,scripts\run_phase7_shock_library.py,outputs\phase7
8,1,1,True,True,False,script_only,,,,scripts\run_phase8_retail_feed_emulator.py,outputs\phase8
9,1,1,True,True,False,script_only,,,,scripts\run_phase9_data_products.py,outputs\phase9
10,2,1,True,True,False,script_only,,,,scripts\run_phase10_storage_optimizer.py|scripts\run_phase10_storage_size_estimator.py,outputs\phase10
11,2,1,True,True,False,script_only,,,,scripts\run_phase11_strategy_modules.py|scripts\run_phase11_strategy_validation_matrix.py,outputs\phase11
12,3,2,True,True,False,script_only,,,,scripts\run_phase12_event_backtester.py|scripts\run_phase12_execution_simulator.py|scripts\run_phase12_order_lifecycle_risk.py,outputs\phase12|outputs\phase12_order_lifecycle
13,2,1,True,True,False,script_only,,,,scripts\run_phase13_experiment_design.py|scripts\run_phase13_experiment_runner.py,outputs\phase13
14,1,1,True,True,False,script_only,,,,scripts\run_phase14_synthetic_quality_validation.py,outputs\phase14
15,1,1,True,True,True,evidence_present,,,,scripts\run_phase15_acceptance_gates.py,outputs\phase15
16,1,1,True,True,False,script_only,,,,scripts\run_phase16_metrics_reporting.py,outputs\phase16
17,1,1,True,True,False,script_only,,,,scripts\run_phase17_work_packages.py,outputs\phase17
18,1,1,True,True,False,script_only,,,,scripts\run_phase18_technology_stack.py,outputs\phase18
19,2,1,True,True,False,script_only,,,,scripts\run_phase19_manifest_normalizer.py|scripts\run_phase19_reproducibility.py,outputs\phase19
20,8,8,True,True,False,script_only,,,,scripts\run_phase20_acceptance_hardening.py|scripts\run_phase20_m01_broker_evidence_contract.py|scripts\run_phase20_m02_strategy_support_contract.py|scripts\run_phase20_m03_predictive_validation_contract.py|scripts\run_phase20_m04_robustness_execution_contract.py|scripts\run_phase20_m05_lifecycle_economic_replay_contract.py|scripts\run_phase20_m06_realism_rerun_contract.py|scripts\run_phase20_m07_real_multiday_acceptance_contract.py,outputs\phase20|outputs\phase20_m01|outputs\phase20_m02|outputs\phase20_m03|outputs\phase20_m04|outputs\phase20_m05|outputs\phase20_m06|outputs\phase20_m07
21,1,1,True,True,False,script_only,,,,scripts\run_phase21_decision_framework.py,outputs\phase21
22,1,1,True,True,False,script_only,,,,scripts\run_phase22_real_data_integration_roadmap.py,outputs\phase22
23,1,1,True,True,False,script_only,,,,scripts\run_phase23_key_risk_register.py,outputs\phase23
25,1,1,True,True,False,script_only,,,,scripts\run_phase25_event_replay_expansion.py,outputs\phase25
26,1,1,True,True,False,script_only,,,,scripts\run_phase26_strategy_salvage_scan.py,outputs\phase26
27,1,1,True,True,False,script_only,,,,scripts\run_phase27_feature_edge_scan.py,outputs\phase27
28,1,1,True,True,False,script_only,,,,scripts\run_phase28_richer_event_label_support.py,outputs\phase28
29,1,1,True,True,False,script_only,,,,scripts\run_phase29_partial_strategy_proxy_replay.py,outputs\phase29
30,1,1,True,True,False,script_only,,,,scripts\run_phase30_strategy_decision_triage.py,outputs\phase30
31,1,1,True,True,False,script_only,,,,scripts\run_phase31_redesign_evidence_contract.py,outputs\phase31
32,1,1,True,True,False,script_only,,,,scripts\run_phase32_contract_evidence_scanner.py,outputs\phase32
33,1,1,True,True,False,script_only,,,,scripts\run_phase33_broker_evidence_intake.py,outputs\phase33
34,1,1,True,True,False,script_only,,,,scripts\run_phase34_real_data_multiday_readiness.py,outputs\phase34
35,1,1,True,True,False,script_only,,,,scripts\run_phase35_stage_a2_computable_diagnostics.py,outputs\phase35
36,1,1,True,True,False,script_only,,,,scripts\run_phase36_collector_instrumentation_package.py,outputs\phase36
37,1,1,True,True,False,script_only,,,,scripts\run_phase37_collector_ledger_verifier.py,outputs\phase37
38,1,1,True,True,False,script_only,,,,scripts\run_phase38_class_b_promotion_gate.py,outputs\phase38
39,1,1,True,True,True,evidence_present,,,,scripts\run_phase39_synthetic_only_acceptance_path.py,outputs\phase39
41,1,1,True,True,False,script_only,,,,scripts\run_phase41_full_year_synthetic_tick_experiment.py,outputs\phase41
42,1,1,True,True,False,script_only,,,,scripts\run_phase42_native_full_year_l2_experiment.py,outputs\phase42
43,1,1,True,True,False,script_only,,,,scripts\run_phase43_native_full_year_cost_salvage_scan.py,outputs\phase43
44,1,1,True,True,False,script_only,,,,scripts\run_phase44_native_full_year_forward_edge_label_mining.py,outputs\phase44
45,1,1,True,True,False,script_only,,,,scripts\run_phase45_raw_tick_lake_materializer.py,outputs\phase45
46,1,1,True,True,False,script_only,,,,scripts\run_phase46_raw_tick_lake_replay_diagnostics.py,outputs\phase46
47,1,1,True,True,False,script_only,,,,scripts\run_phase47_raw_lake_duckdb_catalog.py,outputs\phase47
48,1,1,True,True,False,script_only,,,,scripts\run_phase48_raw_lake_compaction_benchmark.py,outputs\phase48
49,1,1,True,True,False,script_only,,,,scripts\run_phase49_dense_tick_rate_expansion.py,outputs\phase49
50,1,1,True,True,False,script_only,,,,scripts\run_phase50_dense_lake_shard_planner.py,outputs\phase50
51,1,2,True,True,False,smoke_or_partial,,,,scripts\run_phase51_full_dense_lake_materializer.py,outputs\phase51|outputs\phase51_smoke
52,1,3,True,True,True,partial_or_smoke_artifacts_present,dense_synthetic_replay,0,do_not_promote_partial_dense_replay_without_acceptance_gate,scripts\run_phase52_dense_lake_strategy_replay.py,outputs\phase52|outputs\phase52_checkpoint_smoke|outputs\phase52_smoke
53,1,1,True,True,False,script_only,,,,scripts\run_phase53_edge_diagnostics.py,outputs\phase53
54,1,1,True,True,True,evidence_present,,,,scripts\run_phase54_selective_dense_replay.py,outputs\phase54
55,1,1,True,True,True,evidence_present,,,,scripts\run_phase55_cost_aware_edge_mining.py,outputs\phase55
56,1,1,True,True,True,evidence_present,,,,scripts\run_phase56_cost_clearing_label_discovery.py,outputs\phase56
57,1,1,True,True,True,evidence_present,,,,scripts\run_phase57_supervised_interaction_ranker.py,outputs\phase57
58,1,1,True,True,True,evidence_present,,,,scripts\run_phase58_disjoint_candidate_replay.py,outputs\phase58
59,1,1,True,True,True,evidence_present,,,,scripts\run_phase59_stability_filtered_neighborhoods.py,outputs\phase59
60,1,1,True,True,True,evidence_present,,,,scripts\run_phase60_lower_frequency_meta_replay.py,outputs\phase60
