gate,pass,observed,required,severity
phase149_real_l2_replay_gate_closed,True,0,0,hard
phase149_real_receive_flow_source_gate_open_or_explicitly_blocked,True,1,0_or_1_tracked_by_phase172,hard
phase149_secure_download_gate_recorded,True,1,1,hard
phase149_secure_orchestrator_replay_gate_closed,True,0,0,hard
phase149_receive_flow_feature_schema_recorded,True,1,1,hard
phase149_receive_flow_feature_schema_replay_gate_closed,True,0,0,hard
phase149_receive_flow_materializer_recorded,True,1,1,hard
phase149_receive_flow_materializer_replay_gate_closed,True,0,0,hard
phase149_receive_flow_quality_audit_recorded,True,1,1,hard
phase149_receive_flow_quality_audit_replay_gate_closed,True,0,0,hard
phase149_receive_flow_handoff_precommit_recorded,True,1,1,hard
phase149_receive_flow_handoff_replay_gate_closed,True,0,0,hard
phase149_receive_flow_strategy_family_precommit_recorded,True,1,1,hard
phase149_receive_flow_strategy_family_replay_gate_closed,True,0,0,hard
phase149_receive_flow_cost_latency_label_precommit_recorded,True,1,1,hard
phase149_receive_flow_cost_latency_label_replay_gate_closed,True,0,0,hard
phase149_receive_flow_label_materialization_recorded,True,1,1,hard
phase149_receive_flow_label_materialization_replay_gate_closed,True,0,0,hard
phase149_receive_flow_label_quality_leakage_audit_recorded,True,1,1,hard
phase149_receive_flow_label_quality_leakage_replay_gate_closed,True,0,0,hard
phase149_receive_flow_replay_readiness_precommit_recorded,True,1,1,hard
phase149_receive_flow_replay_readiness_replay_gate_closed,True,0,0,hard
phase149_receive_flow_replay_readiness_pnl_gate_closed,True,0,0,hard
phase149_receive_flow_train_validation_dry_run_recorded,True,1,1,hard
phase149_receive_flow_train_validation_dry_run_test_gate_closed,True,0,0,hard
phase149_receive_flow_train_validation_dry_run_promotion_gate_closed,True,0,0,hard
phase149_receive_flow_train_validation_dry_run_paper_live_gate_closed,True,0,0,hard
phase149_receive_flow_validation_interpretation_recorded,True,1,1,hard
phase149_receive_flow_validation_interpretation_test_rows_closed,True,0,0,hard
phase149_receive_flow_validation_interpretation_test_replay_closed,True,0,0,hard
phase149_receive_flow_validation_interpretation_promotion_closed,True,0,0,hard
phase149_receive_flow_validation_interpretation_paper_live_closed,True,0,0,hard
phase149_receive_flow_current_family_closure_recorded,True,1,1,hard
phase149_receive_flow_current_family_reuse_without_redesign_closed,True,0,0,hard
phase149_receive_flow_current_family_closure_test_replay_closed,True,0,0,hard
phase149_receive_flow_current_family_closure_promotion_closed,True,0,0,hard
phase149_receive_flow_current_family_closure_paper_live_closed,True,0,0,hard
phase149_receive_flow_cost_aware_sparse_candidate_recorded,True,1,1,hard
phase149_receive_flow_cost_aware_sparse_candidate_test_rows_closed,True,0,0,hard
phase149_receive_flow_cost_aware_sparse_candidate_test_replay_closed,True,0,0,hard
phase149_receive_flow_cost_aware_sparse_candidate_promotion_closed,True,0,0,hard
phase149_receive_flow_cost_aware_sparse_candidate_paper_live_closed,True,0,0,hard
phase149_receive_flow_sparse_candidate_interpretation_recorded,True,1,1,hard
phase149_receive_flow_sparse_candidate_interpretation_test_replay_closed,True,0,0,hard
phase149_receive_flow_sparse_candidate_interpretation_promotion_closed,True,0,0,hard
phase149_receive_flow_sparse_candidate_interpretation_paper_live_closed,True,0,0,hard
phase149_receive_flow_test_precommit_decision_recorded,True,1,1,hard
phase149_receive_flow_test_precommit_allowed_closed,True,0,0,hard
phase149_receive_flow_test_replay_still_closed,True,0,0,hard
phase149_receive_flow_test_precommit_decision_promotion_closed,True,0,0,hard
phase149_receive_flow_test_precommit_decision_paper_live_closed,True,0,0,hard
phase149_receive_flow_phase190_diagnostic_spec_recorded,True,1,1,hard
phase149_receive_flow_phase190_test_replay_not_executed,True,0,0,hard
phase149_receive_flow_phase190_test_replay_closed,True,0,0,hard
phase149_receive_flow_phase190_promotion_closed,True,0,0,hard
phase149_receive_flow_phase190_paper_live_closed,True,0,0,hard
phase149_receive_flow_phase191_diagnostic_precommit_recorded,True,1,1,hard
phase149_receive_flow_phase191_test_replay_not_executed,True,0,0,hard
phase149_receive_flow_phase191_test_result_closed,True,0,0,hard
