artifact_id,manifest_path,manifest_exists,required_field,coverage_status,matched_aliases
stage_a1,outputs/stage_a1/manifest_check.json,True,generator_version,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,configuration_hash,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,random_seed,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,calibration_dataset_id,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,ticker_metadata_version,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,regime_calendar_version,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,scenario_ids,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,cost_model_version,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,latency_model_version,missing,
stage_a1,outputs/stage_a1/manifest_check.json,True,creation_timestamp,missing,
phase1,outputs/phase1/phase1_manifest.json,False,generator_version,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,configuration_hash,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,random_seed,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,calibration_dataset_id,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,ticker_metadata_version,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,regime_calendar_version,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,scenario_ids,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,cost_model_version,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,latency_model_version,manifest_missing_or_unreadable,
phase1,outputs/phase1/phase1_manifest.json,False,creation_timestamp,manifest_missing_or_unreadable,
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,generator_version,present_exact,generator_version
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,configuration_hash,present_exact,configuration_hash
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,random_seed,present_exact,random_seed
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,calibration_dataset_id,present_exact,calibration_dataset_id
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,ticker_metadata_version,present_exact,symbols;ticker_metadata_version
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,regime_calendar_version,present_exact,regime_calendar_version
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,scenario_ids,present_exact,scenario_ids
phase1_event_reconstruction,outputs/phase1/event_reconstruction/event_reconstruction_manifest.json,True,cost_model_version,present_exact,cost_model_version
