artifact_id,manifest_path,required_field,current_coverage_status,matched_aliases,remediation_status,recommended_value_source,recommended_action
dashboard,outputs/dashboard/validation_dashboard_manifest.json,calibration_dataset_id,present_exact,calibration_dataset_id,complete_exact,calibration_dataset_id,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,configuration_hash,present_exact,configuration_hash,complete_exact,configuration_hash,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,cost_model_version,present_exact,cost_model_version,complete_exact,cost_model_version,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,creation_timestamp,present_exact,creation_timestamp;generated_utc,complete_exact,creation_timestamp,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,generator_version,present_exact,generator_version,complete_exact,generator_version,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,latency_model_version,present_exact,latency_model_version,complete_exact,latency_model_version,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,random_seed,present_exact,random_seed,complete_exact,random_seed,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,regime_calendar_version,present_exact,regime_calendar_version,complete_exact,regime_calendar_version,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,scenario_ids,present_exact,scenario_ids,complete_exact,scenario_ids,No remediation required.
dashboard,outputs/dashboard/validation_dashboard_manifest.json,ticker_metadata_version,present_exact,ticker_metadata_version,complete_exact,ticker_metadata_version,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,calibration_dataset_id,present_exact,calibration_dataset_id,complete_exact,calibration_dataset_id,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,configuration_hash,present_exact,configuration_hash,complete_exact,configuration_hash,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,cost_model_version,present_exact,cost_model_version,complete_exact,cost_model_version,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,creation_timestamp,present_exact,creation_timestamp;generated_utc,complete_exact,creation_timestamp,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,generator_version,present_exact,generator_version,complete_exact,generator_version,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,latency_model_version,present_exact,latency_model_version,complete_exact,latency_model_version,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,random_seed,present_exact,random_seed,complete_exact,random_seed,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,regime_calendar_version,present_exact,regime_calendar_version,complete_exact,regime_calendar_version,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,scenario_ids,present_exact,scenario_ids,complete_exact,scenario_ids,No remediation required.
duckdb,outputs/duckdb/duckdb_workspace_manifest.json,ticker_metadata_version,present_exact,ticker_metadata_version,complete_exact,ticker_metadata_version,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,calibration_dataset_id,present_exact,calibration_dataset_id,complete_exact,calibration_dataset_id,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,configuration_hash,present_exact,configuration_hash,complete_exact,configuration_hash,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,cost_model_version,present_exact,cost_model_version,complete_exact,cost_model_version,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,creation_timestamp,present_exact,creation_timestamp;generated_utc,complete_exact,creation_timestamp,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,generator_version,present_exact,generator_version,complete_exact,generator_version,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,latency_model_version,present_exact,latency_model_version,complete_exact,latency_model_version,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,random_seed,present_exact,random_seed,complete_exact,random_seed,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,regime_calendar_version,present_exact,regime_calendar_version,complete_exact,regime_calendar_version,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,scenario_ids,present_exact,scenario_ids,complete_exact,scenario_ids,No remediation required.
horizon_readiness,outputs/horizon_readiness/horizon_readiness_manifest.json,ticker_metadata_version,present_exact,ticker_metadata_version,complete_exact,ticker_metadata_version,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,calibration_dataset_id,present_exact,calibration_dataset_id,complete_exact,calibration_dataset_id,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,configuration_hash,present_exact,configuration_hash,complete_exact,configuration_hash,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,cost_model_version,present_exact,cost_model_version,complete_exact,cost_model_version,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,creation_timestamp,present_exact,creation_timestamp;generated_utc,complete_exact,creation_timestamp,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,generator_version,present_exact,generator_version,complete_exact,generator_version,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,latency_model_version,present_exact,latency_model_version,complete_exact,latency_model_version,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,random_seed,present_exact,random_seed,complete_exact,random_seed,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,regime_calendar_version,present_exact,regime_calendar_version,complete_exact,regime_calendar_version,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,scenario_ids,present_exact,scenario_ids,complete_exact,scenario_ids,No remediation required.
phase1,outputs/phase1/phase1_manifest.json,ticker_metadata_version,present_exact,ticker_metadata_version,complete_exact,ticker_metadata_version,No remediation required.
phase10,outputs/phase10/storage_manifest.json,calibration_dataset_id,present_exact,calibration_dataset_id,complete_exact,calibration_dataset_id,No remediation required.
phase10,outputs/phase10/storage_manifest.json,configuration_hash,present_exact,configuration_hash,complete_exact,configuration_hash,No remediation required.
phase10,outputs/phase10/storage_manifest.json,cost_model_version,present_exact,cost_model_version,complete_exact,cost_model_version,No remediation required.
phase10,outputs/phase10/storage_manifest.json,creation_timestamp,present_exact,creation_timestamp;generated_utc,complete_exact,creation_timestamp,No remediation required.
phase10,outputs/phase10/storage_manifest.json,generator_version,present_exact,generator_version,complete_exact,generator_version,No remediation required.
phase10,outputs/phase10/storage_manifest.json,latency_model_version,present_exact,latency_model_version,complete_exact,latency_model_version,No remediation required.
phase10,outputs/phase10/storage_manifest.json,random_seed,present_exact,random_seed,complete_exact,random_seed,No remediation required.
phase10,outputs/phase10/storage_manifest.json,regime_calendar_version,present_exact,regime_calendar_version,complete_exact,regime_calendar_version,No remediation required.
phase10,outputs/phase10/storage_manifest.json,scenario_ids,present_exact,scenario_ids,complete_exact,scenario_ids,No remediation required.
phase10,outputs/phase10/storage_manifest.json,ticker_metadata_version,present_exact,ticker_metadata_version,complete_exact,ticker_metadata_version,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,calibration_dataset_id,present_exact,calibration_dataset_id;features_path,complete_exact,calibration_dataset_id,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,configuration_hash,present_exact,configuration_hash,complete_exact,configuration_hash,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,cost_model_version,present_exact,cost_model_version,complete_exact,cost_model_version,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,creation_timestamp,present_exact,creation_timestamp;generated_utc,complete_exact,creation_timestamp,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,generator_version,present_exact,generator_version,complete_exact,generator_version,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,latency_model_version,present_exact,latency_model_version,complete_exact,latency_model_version,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,random_seed,present_exact,random_seed,complete_exact,random_seed,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,regime_calendar_version,present_exact,regime_calendar_version,complete_exact,regime_calendar_version,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,scenario_ids,present_exact,scenario_ids,complete_exact,scenario_ids,No remediation required.
phase11,outputs/phase11/strategy_validation_manifest.json,ticker_metadata_version,present_exact,ticker_metadata_version,complete_exact,ticker_metadata_version,No remediation required.
