label_file,read_status,horizon_sec,trade_date,exchange,symbol,split_role,rows,missing_required_columns,forbidden_columns,bucket_monotonic_violations,duplicate_bucket_rows,split_role_mismatch_rows,test_role_rows,label_available_fraction,audit_pass
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,ADANIPORTS,train,3618,,,0,0,0,0,0.9997236042012161,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,AXISBANK,train,5830,,,0,0,0,0,0.9998284734133791,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,BAJAJ-AUTO,train,3324,,,0,0,0,0,0.9996991576413959,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,BANKBEES,train,5646,,,0,0,0,0,0.999822883457315,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,BHARTIARTL,train,3953,,,0,0,0,0,0.9997470275739945,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,BPCL,train,2853,,,0,0,0,0,0.9996494917630564,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,BRITANNIA,train,2152,,,0,0,0,0,0.9995353159851301,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,CIPLA,train,2954,,,0,0,0,0,0.9996614759647935,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,DRREDDY,train,2936,,,0,0,0,0,0.9996594005449592,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,GOLDBEES,train,4079,,,0,0,0,0,0.9997548418730081,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,HCLTECH,train,2707,,,0,0,0,0,0.9996305873660879,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,HDFCBANK,train,6817,,,0,0,0,0,0.9998533079067038,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,HINDUNILVR,train,3471,,,0,0,0,0,0.9997118985883031,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,ICICIBANK,train,6211,,,0,0,0,0,0.9998389953308646,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=INFY\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,INFY,train,5153,,,0,0,0,0,0.9998059382883757,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,ITBEES,train,2356,,,0,0,0,0,0.9995755517826825,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ITC\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,ITC,train,4272,,,0,0,0,0,0.9997659176029963,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,JUNIORBEES,train,5242,,,0,0,0,0,0.9998092331171309,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,KOTAKBANK,train,4945,,,0,0,0,0,0.9997977755308393,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=LT\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,LT,train,6329,,,0,0,0,0,0.9998419971559488,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=M&M\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,M&M,train,6038,,,0,0,0,0,0.9998343822457767,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,MARUTI,train,4918,,,0,0,0,0,0.9997966653111021,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,NESTLEIND,train,2944,,,0,0,0,0,0.9996603260869565,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,NIFTYBEES,train,5017,,,0,0,0,0,0.9998006776958341,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ONGC\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,ONGC,train,4122,,,0,0,0,0,0.999757399320718,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,RELIANCE,train,6548,,,0,0,0,0,0.9998472816127062,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=SBIN\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,SBIN,train,5500,,,0,0,0,0,0.9998181818181818,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,SUNPHARMA,train,3353,,,0,0,0,0,0.9997017596182524,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=TCS\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,TCS,train,3905,,,0,0,0,0,0.9997439180537772,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=TECHM\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,TECHM,train,2803,,,0,0,0,0,0.9996432393863718,1
derived_real_l2_receive_flow_labels_phase181\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ULTRACEMCO\receive_flow_labels.parquet,ok,1,2026-07-08,NSE,ULTRACEMCO,train,3044,,,0,0,0,0,0.9996714848883048,1
