metric,value,description
phase176_materialization_plan_rows,6,Feature materialization plan rows
phase176_sql_template_rows,3,DuckDB/local SQL templates declared
phase176_gate_rows,4,Gates evaluated
phase176_hard_gate_rows,3,Hard gates evaluated
phase176_hard_gate_pass_rows,3,Hard gates passed
phase176_activation_ready,1,Inherited Phase175 activation gate
phase176_materialized_partition_rows,896,Feature partition rows written to inventory
phase176_materialized_feature_rows,3343256,Feature rows written across all horizons
phase176_feature_parquet_files,896,Feature parquet files present under feature root
phase176_features_materialized,1,1 means feature parquet was materialized
phase176_strategy_replay_allowed,0,No strategy replay opened
phase176_paper_or_live_acceptance_allowed,0,Paper/live remains closed
phase176_forbidden_outputs,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim;paper_live_acceptance,Outputs forbidden in this phase
phase176_next_best_action,run_phase177_feature_quality_audit,Recommended next milestone
