experiment_id,quarter_profile,simulation_seed,strategy_id,parameter_set_id,control_id,segment_scope,status,retain_failed_run,support_level,rows_evaluated,signal_rows,signal_fraction,mean_future_return_when_signaled,signed_mean_future_return,directional_accuracy_nonzero,trades,mean_gross_return,mean_cost_return,mean_net_return,win_rate_net,total_net_pnl_units,phase12_status,execution_profile,run_status,proxy_control_description,proxy_signal_fraction,proxy_signed_mean_future_return,proxy_directional_accuracy_nonzero,proxy_mean_net_return,proxy_total_net_pnl_units,negative_control_interpretable,negative_control_result,parameter_smoothness_status,walk_forward_status,holdout_status,acceptance_eligible
EXP13_000001,Q-A,910001,S01,S01_P001,BASE,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,164253,0.0727031534665823,2.01051214547453e-05,-0.0010861250864051,0.4349823408827089,160471,0.0074760393289249,0.0012589524953542,0.0062170868335706,0.6033301967333662,997.6621412699192,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Registered base experiment using current proxy evidence.,0.0727031534665823,-0.0010861250864051,0.4349823408827089,0.0062170868335706,997.6621412699192,False,base_case,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000002,Q-A,910001,S01,S01_P001,NC01,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,164253,0.0727031534665823,2.01051214547453e-05,-0.0010861250864051,0.4349823408827089,160471,0.0074760393289249,0.0012589524953542,0.0062170868335706,0.6033301967333662,997.6621412699192,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Shuffle-within-time-bucket proxy: preserves turnover but removes most predictive coupling.,0.0727031534665823,-2.1722501728102e-05,0.49869964681765416,0.00031085434167853004,49.88310706349596,True,pass_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000003,Q-A,910001,S01,S01_P001,NC02,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,164253,0.0727031534665823,2.01051214547453e-05,-0.0010861250864051,0.4349823408827089,160471,0.0074760393289249,0.0012589524953542,0.0062170868335706,0.6033301967333662,997.6621412699192,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Delayed-signal proxy: degrades signal edge and modestly reduces executable turnover.,0.06543283811992406,-0.00038014378024178497,0.4772438193089481,0.0021759803917497096,349.1817494444717,True,fail_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000004,Q-A,910001,S01,S01_P001,NC03,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,164253,0.0727031534665823,2.01051214547453e-05,-0.0010861250864051,0.4349823408827089,160471,0.0074760393289249,0.0012589524953542,0.0062170868335706,0.6033301967333662,997.6621412699192,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Inverted-signal proxy: reverses directional edge while preserving turnover.,0.0727031534665823,0.0010861250864051,0.5650176591172911,-0.0062170868335706,-997.6621412699192,True,pass_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000005,Q-A,910001,S02,S02_P001,BASE,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,898620,0.3977553394345325,9.570811558263237e-07,-0.0001121696549537,0.4857553300649869,879151,4.0197659804172366e-05,0.0014171281252437,-0.0013769304654395,0.4692458974624381,-1210.529795621647,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Registered base experiment using current proxy evidence.,0.3977553394345325,-0.0001121696549537,0.4857553300649869,-0.0013769304654395,-1210.529795621647,False,base_case,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000006,Q-A,910001,S02,S02_P001,NC01,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,898620,0.3977553394345325,9.570811558263237e-07,-0.0001121696549537,0.4857553300649869,879151,4.0197659804172366e-05,0.0014171281252437,-0.0013769304654395,0.4692458974624381,-1210.529795621647,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Shuffle-within-time-bucket proxy: preserves turnover but removes most predictive coupling.,0.3977553394345325,-2.2433930990740002e-06,0.49971510660129975,-6.884652327197501e-05,-60.526489781082354,False,not_interpretable_base_not_positive,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000007,Q-A,910001,S02,S02_P001,NC02,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,898620,0.3977553394345325,9.570811558263237e-07,-0.0001121696549537,0.4857553300649869,879151,4.0197659804172366e-05,0.0014171281252437,-0.0013769304654395,0.4692458974624381,-1210.529795621647,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Delayed-signal proxy: degrades signal edge and modestly reduces executable turnover.,0.3579798054910793,-3.9259379233795e-05,0.4950143655227454,-0.000481925662903825,-423.68542846757646,False,not_interpretable_base_not_positive,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000008,Q-A,910001,S02,S02_P001,NC03,calibration_development_and_validation_only,planned_not_run,True,runnable_proxy,2259228,898620,0.3977553394345325,9.570811558263237e-07,-0.0001121696549537,0.4857553300649869,879151,4.0197659804172366e-05,0.0014171281252437,-0.0013769304654395,0.4692458974624381,-1210.529795621647,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Inverted-signal proxy: reverses directional edge while preserving turnover.,0.3977553394345325,0.0001121696549537,0.5142446699350132,0.0013769304654395,1210.529795621647,False,not_interpretable_base_not_positive,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000009,Q-A,910001,S03,S03_P001,BASE,calibration_development_and_validation_only,planned_not_run,True,partial_missing_required_features,2259228,280476,0.124146832457813,-5.599243937028176e-05,-0.0006915271702102,0.4678343203787374,273427,0.0059836470487996,0.0011966749565645,0.004786972092235,0.5695011831311465,1308.8874182635666,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Registered base experiment using current proxy evidence.,0.124146832457813,-0.0006915271702102,0.4678343203787374,0.004786972092235,1308.8874182635666,False,base_case,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
EXP13_000010,Q-A,910001,S03,S03_P001,NC01,calibration_development_and_validation_only,planned_not_run,True,partial_missing_required_features,2259228,280476,0.124146832457813,-5.599243937028176e-05,-0.0006915271702102,0.4678343203787374,273427,0.0059836470487996,0.0011966749565645,0.004786972092235,0.5695011831311465,1308.8874182635666,simulated_marketable_proxy_not_acceptance,retail_marketable_default,executed_proxy_smoke_not_acceptance,Shuffle-within-time-bucket proxy: preserves turnover but removes most predictive coupling.,0.124146832457813,-1.3830543404204e-05,0.49935668640757475,0.00023934860461175,65.44437091317833,True,pass_proxy,not_evaluated_single_parameter_set,not_evaluated_static_proxy_inputs,not_evaluated_calibration_validation_scope_only,False
