source_root,source_symbol_dir,symbol,source_layout,inferred_trade_date,inferred_exchange,parquet_files,first_file,last_file,ready_for_import,blocker
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,ADANIPORTS,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-073443_831343-000001.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\part-100140_507866-020481.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,AXISBANK,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-073443_970901-000002.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\part-100140_620396-020482.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,BAJAJ-AUTO,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-073444_080201-000003.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\part-100140_731059-020483.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,BANKBEES,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-073444_224685-000004.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\part-100140_848136-020484.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,BHARTIARTL,nested_trade_date_exchange_symbol,2026-07-08,NSE,640,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-073444_337478-000005.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\part-100109_725200-020453.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,BPCL,nested_trade_date_exchange_symbol,2026-07-08,NSE,640,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\part-073444_450400-000006.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\part-100109_851351-020454.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,BRITANNIA,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\part-073444_559438-000007.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\part-100140_948824-020485.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,CIPLA,nested_trade_date_exchange_symbol,2026-07-08,NSE,640,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\part-073444_685953-000008.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\part-100110_070390-020456.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,DRREDDY,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\part-073444_858308-000009.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\part-100141_075547-020486.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,GOLDBEES,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\part-073444_976748-000010.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\part-100141_199842-020487.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH,HCLTECH,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\part-073445_125270-000011.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\part-100141_316106-020488.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK,HDFCBANK,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK\part-073445_239174-000012.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HDFCBANK\part-100141_430919-020489.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,HINDUNILVR,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\part-073445_351918-000013.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\part-100141_557253-020490.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,ICICIBANK,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\part-073445_486437-000014.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\part-100141_666872-020491.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY,INFY,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY\part-073445_602798-000015.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY\part-100141_770666-020492.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,ITBEES,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\part-073445_718369-000016.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\part-100141_879358-020493.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC,ITC,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC\part-073445_866169-000017.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC\part-100142_006553-020494.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,JUNIORBEES,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\part-073445_997997-000018.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\part-100142_116738-020495.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,KOTAKBANK,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\part-073446_107086-000019.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\part-100142_239451-020496.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT,LT,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT\part-073446_226721-000020.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT\part-100142_357559-020497.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M,M&M,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M\part-073446_344136-000021.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M\part-100142_459029-020498.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,MARUTI,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\part-073446_469930-000022.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\part-100142_602509-020499.parquet,True,
scratch_azcopy_selected\raw_l2,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,NESTLEIND,nested_trade_date_exchange_symbol,2026-07-08,NSE,641,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\part-073446_613957-000023.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\part-100142_710474-020500.parquet,True,
